name,survived
"Dodge, Dr. Washington",True
"Dodge, Master. Washington",True
"Dodge, Mrs. Washington (Ruth Vidaver)",True
"Douglas, Mr. Walter Donald",False
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",True
"Douglas, Mrs. Walter Donald (Mahala Dutton)",True
"Duff Gordon, Lady. (Lucille Christiana Sutherland) ('Mrs Morgan')",True
"Duff Gordon, Sir. Cosmo Edmund ('Mr Morgan')",True
"Dulles, Mr. William Crothers",False
"Earnshaw, Mrs. Boulton (Olive Potter)",True
"Endres, Miss. Caroline Louise",True
"Eustis, Miss. Elizabeth Mussey",True
"Evans, Miss. Edith Corse",False
"Farthing, Mr. John",False
"Flegenheim, Mrs. Alfred (Antoinette)",True
"Fleming, Miss. Margaret",True
"Flynn, Mr. John Irwin ('Irving')",True
"Foreman, Mr. Benjamin Laventall",False
"Fortune, Miss. Alice Elizabeth",True
"Fortune, Miss. Ethel Flora",True
"Fortune, Miss. Mabel Helen",True
"Fortune, Mr. Charles Alexander",False
"Fortune, Mr. Mark",False
"Fortune, Mrs. Mark (Mary McDougald)",True
"Francatelli, Miss. Laura Mabel",True
"Franklin, Mr. Thomas Parham",False
"Frauenthal, Dr. Henry William",True
"Frauenthal, Mr. Isaac Gerald",True
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",True
"Frolicher, Miss. Hedwig Margaritha",True
"Frolicher-Stehli, Mr. Maxmillian",True
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",True
"Fry, Mr. Richard",False
"Futrelle, Mr. Jacques Heath",False
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",True
"Gee, Mr. Arthur H",False
"Geiger, Miss. Amalie",True
"Gibson, Miss. Dorothy Winifred",True
"Gibson, Mrs. Leonard (Pauline C Boeson)",True
"Giglio, Mr. Victor",False
"Goldenberg, Mr. Samuel L",True
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",True
"Goldschmidt, Mr. George B",False
"Gracie, Col. Archibald IV",True
"Graham, Miss. Margaret Edith",True
"Graham, Mr. George Edward",False
"Graham, Mrs. William Thompson (Edith Junkins)",True
"Greenfield, Mr. William Bertram",True
"Greenfield, Mrs. Leo David (Blanche Strouse)",True
"Guggenheim, Mr. Benjamin",False
"Harder, Mr. George Achilles",True
"Harder, Mrs. George Achilles (Dorothy Annan)",True
"Harper, Mr. Henry Sleeper",True
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",True
"Harrington, Mr. Charles H",False
"Harris, Mr. Henry Birkhardt",False
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",True
"Harrison, Mr. William",False
"Hassab, Mr. Hammad",True
"Hawksford, Mr. Walter James",True
"Hays, Miss. Margaret Bechstein",True
"Hays, Mr. Charles Melville",False
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",True
"Head, Mr. Christopher",False
"Hilliard, Mr. Herbert Henry",False
"Hipkins, Mr. William Edward",False
"Hippach, Miss. Jean Gertrude",True
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",True
"Hogeboom, Mrs. John C (Anna Andrews)",True
"Holverson, Mr. Alexander Oskar",False
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",True
"Homer, Mr. Harry ('Mr E Haven')",True
"Hoyt, Mr. Frederick Maxfield",True
"Hoyt, Mr. William Fisher",False
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",True
"Icard, Miss. Amelie",True
"Isham, Miss. Ann Elizabeth",False
"Ismay, Mr. Joseph Bruce",True
"Jones, Mr. Charles Cresson",False
"Julian, Mr. Henry Forbes",False
"Keeping, Mr. Edwin",False
"Kent, Mr. Edward Austin",False
"Kenyon, Mr. Frederick R",False
"Kenyon, Mrs. Frederick R (Marion)",True
"Kimball, Mr. Edwin Nelson Jr",True
"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",True
"Klaber, Mr. Herman",False
"Kreuchen, Miss. Emilie",True
"Leader, Dr. Alice (Farnham)",True
"LeRoy, Miss. Bertha",True
"Lesurer, Mr. Gustave J",True
"Lewy, Mr. Ervin G",False
"Lindeberg-Lind, Mr. Erik Gustaf ('Mr Edward Lingrey')",False
"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",True
"Lines, Miss. Mary Conover",True
"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",True
"Long, Mr. Milton Clyde",False
"Longley, Miss. Gretchen Fiske",True
"Loring, Mr. Joseph Holland",False
"Lurette, Miss. Elise",True
"Madill, Miss. Georgette Alexandra",True
"Maguire, Mr. John Edward",False
"Maioni, Miss. Roberta",True
"Marechal, Mr. Pierre",True
"Marvin, Mr. Daniel Warner",False
"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",True
"Mayne, Mlle. Berthe Antonine ('Mrs de Villiers')",True
"McCaffry, Mr. Thomas Francis",False
"McCarthy, Mr. Timothy J",False
"McGough, Mr. James Robert",True
"Meyer, Mr. Edgar Joseph",False
"Meyer, Mrs. Edgar Joseph (Leila Saks)",True
"Millet, Mr. Francis Davis",False
"Minahan, Dr. William Edward",False
"Minahan, Miss. Daisy E",True
"Minahan, Mrs. William Edward (Lillian E Thorpe)",True
"Mock, Mr. Philipp Edmund",True
"Molson, Mr. Harry Markland",False
"Moore, Mr. Clarence Bloomfield",False
"Natsch, Mr. Charles H",False
"Newell, Miss. Madeleine",True
"Newell, Miss. Marjorie",True
"Newell, Mr. Arthur Webster",False
"Newsom, Miss. Helen Monypeny",True
"Nicholson, Mr. Arthur Ernest",False
"Oliva y Ocana, Dona. Fermina",True
"Omont, Mr. Alfred Fernand",True
"Ostby, Miss. Helene Ragnhild",True
"Ostby, Mr. Engelhart Cornelius",False
"Ovies y Rodriguez, Mr. Servando",False
"Parr, Mr. William Henry Marsh",False
"Partner, Mr. Austen",False
"Payne, Mr. Vivian Ponsonby",False
"Pears, Mr. Thomas Clinton",False
"Pears, Mrs. Thomas (Edith Wearne)",True
"Penasco y Castellana, Mr. Victor de Satode",False
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",True
"Perreault, Miss. Anne",True
"Peuchen, Major. Arthur Godfrey",True
"Porter, Mr. Walter Chamberlain",False
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",True
"Reuchlin, Jonkheer. John George",False
"Rheims, Mr. George Alexander Lucien",True
"Ringhini, Mr. Sante",False
"Robbins, Mr. Victor",False
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",True
"Roebling, Mr. Washington Augustus II",False
"Romaine, Mr. Charles Hallace ('Mr C Rolmane')",True
"Rood, Mr. Hugh Roscoe",False
"Rosenbaum, Miss. Edith Louise",True
"Rosenshine, Mr. George ('Mr George Thorne')",False
"Ross, Mr. John Hugo",False
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",True
"Rothschild, Mr. Martin",False
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",True
"Rowe, Mr. Alfred G",False
"Ryerson, Master. John Borie",True
"Ryerson, Miss. Emily Borie",True
"Ryerson, Miss. Susan Parker 'Suzette'",True
"Ryerson, Mr. Arthur Larned",False
"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",True
"Saalfeld, Mr. Adolphe",True
"Sagesser, Mlle. Emma",True
"Salomon, Mr. Abraham L",True
"Schabert, Mrs. Paul (Emma Mock)",True
"Serepeca, Miss. Augusta",True
"Seward, Mr. Frederic Kimber",True
"Shutes, Miss. Elizabeth W",True
"Silverthorne, Mr. Spencer Victor",True
"Silvey, Mr. William Baird",False
"Silvey, Mrs. William Baird (Alice Munger)",True
"Simonius-Blumer, Col. Oberst Alfons",True
"Sloper, Mr. William Thompson",True
"Smart, Mr. John Montgomery",False
"Smith, Mr. James Clinch",False
"Smith, Mr. Lucien Philip",False
"Smith, Mr. Richard William",False
"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",True
"Snyder, Mr. John Pillsbury",True
"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",True
"Spedden, Master. Robert Douglas",True
"Spedden, Mr. Frederic Oakley",True
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",True
"Spencer, Mr. William Augustus",False
"Spencer, Mrs. William Augustus (Marie Eugenie)",True
"Stahelin-Maeglin, Dr. Max",True
"Stead, Mr. William Thomas",False
"Stengel, Mr. Charles Emil Henry",True
"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",True
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",True
"Stewart, Mr. Albert A",False
"Stone, Mrs. George Nelson (Martha Evelyn)",True
"Straus, Mr. Isidor",False
"Straus, Mrs. Isidor (Rosalie Ida Blun)",False
"Sutton, Mr. Frederick",False
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",True
"Taussig, Miss. Ruth",True
"Taussig, Mr. Emil",False
"Taussig, Mrs. Emil (Tillie Mandelbaum)",True
"Taylor, Mr. Elmer Zebley",True
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",True
"Thayer, Mr. John Borland",False
"Thayer, Mr. John Borland Jr",True
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",True
"Thorne, Mrs. Gertrude Maybelle",True
"Tucker, Mr. Gilbert Milligan Jr",True
"Uruchurtu, Don. Manuel E",False
"Van der hoef, Mr. Wyckoff",False
"Walker, Mr. William Anderson",False
"Ward, Miss. Anna",True
"Warren, Mr. Frank Manley",False
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",True
"Weir, Col. John",False
"White, Mr. Percival Wayland",False
"White, Mr. Richard Frasar",False
"White, Mrs. John Stuart (Ella Holmes)",True
"Wick, Miss. Mary Natalie",True
"Wick, Mr. George Dennick",False
"Wick, Mrs. George Dennick (Mary Hitchcock)",True
"Widener, Mr. George Dunton",False
"Widener, Mr. Harry Elkins",False
"Widener, Mrs. George Dunton (Eleanor Elkins)",True
"Willard, Miss. Constance",True
"Williams, Mr. Charles Duane",False
"Williams, Mr. Richard Norris II",True
"Williams-Lambert, Mr. Fletcher Fellows",False
"Wilson, Miss. Helen Alice",True
"Woolner, Mr. Hugh",True
"Wright, Mr. George",False
"Young, Miss. Marie Grice",True
"Abelson, Mr. Samuel",False
"Abelson, Mrs. Samuel (Hannah Wizosky)",True
"Aldworth, Mr. Charles Augustus",False
"Andrew, Mr. Edgardo Samuel",False
"Andrew, Mr. Frank Thomas",False
"Angle, Mr. William A",False
"Angle, Mrs. William A (Florence 'Mary' Agnes Hughes)",True
"Ashby, Mr. John",False
"Bailey, Mr. Percy Andrew",False
"Baimbrigge, Mr. Charles Robert",False
"Ball, Mrs. (Ada E Hall)",True
"Banfield, Mr. Frederick James",False
"Bateman, Rev. Robert James",False
"Beane, Mr. Edward",True
"Beane, Mrs. Edward (Ethel Clarke)",True
"Beauchamp, Mr. Henry James",False
"Becker, Master. Richard F",True
"Becker, Miss. Marion Louise",True
"Becker, Miss. Ruth Elizabeth",True
"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",True
"Beesley, Mr. Lawrence",True
"Bentham, Miss. Lilian W",True
"Berriman, Mr. William John",False
"Botsford, Mr. William Hull",False
"Bowenur, Mr. Solomon",False
"Bracken, Mr. James H",False
"Brown, Miss. Amelia 'Mildred'",True
"Brown, Miss. Edith Eileen",True
"Brown, Mr. Thomas William Solomon",False
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",True
"Bryhl, Miss. Dagmar Jenny Ingeborg",True
"Bryhl, Mr. Kurt Arnold Gottfrid",False
"Buss, Miss. Kate",True
"Butler, Mr. Reginald Fenton",False
"Byles, Rev. Thomas Roussel Davids",False
"Bystrom, Mrs. (Karolina)",True
"Caldwell, Master. Alden Gates",True
"Caldwell, Mr. Albert Francis",True
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",True
"Cameron, Miss. Clear Annie",True
"Campbell, Mr. William",False
"Carbines, Mr. William",False
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",False
"Carter, Rev. Ernest Courtenay",False
"Chapman, Mr. Charles Henry",False
"Chapman, Mr. John Henry",False
"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",False
"Christy, Miss. Julie Rachel",True
"Christy, Mrs. (Alice Frances)",True
"Clarke, Mr. Charles Valentine",False
"Clarke, Mrs. Charles V (Ada Maria Winfield)",True
"Coleridge, Mr. Reginald Charles",False
"Collander, Mr. Erik Gustaf",False
"Collett, Mr. Sidney C Stuart",True
"Collyer, Miss. Marjorie 'Lottie'",True
"Collyer, Mr. Harvey",False
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",True
"Cook, Mrs. (Selena Rogers)",True
"Corbett, Mrs. Walter H (Irene Colvin)",False
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",False
"Cotterill, Mr. Henry 'Harry'",False
"Cunningham, Mr. Alfred Fleming",False
"Davies, Master. John Morgan Jr",True
"Davies, Mr. Charles Henry",False
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White)",True
"Davis, Miss. Mary",True
"de Brito, Mr. Jose Joaquim",False
"Deacon, Mr. Percy William",False
"del Carlo, Mr. Sebastiano",False
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",True
"Denbury, Mr. Herbert",False
"Dibden, Mr. William",False
"Doling, Miss. Elsie",True
"Doling, Mrs. John T (Ada Julia Bone)",True
"Downton, Mr. William James",False
"Drew, Master. Marshall Brines",True
"Drew, Mr. James Vivian",False
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",True
"Duran y More, Miss. Asuncion",True
"Duran y More, Miss. Florentina",True
"Eitemiller, Mr. George Floyd",False
"Enander, Mr. Ingvar",False
"Fahlstrom, Mr. Arne Jonas",False
"Faunthorpe, Mr. Harry",False
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",True
"Fillbrook, Mr. Joseph Charles",False
"Fox, Mr. Stanley Hubert",False
"Frost, Mr. Anthony Wood 'Archie'",False
"Funk, Miss. Annie Clemmer",False
"Fynney, Mr. Joseph J",False
"Gale, Mr. Harry",False
"Gale, Mr. Shadrach",False
"Garside, Miss. Ethel",True
"Gaskell, Mr. Alfred",False
"Gavey, Mr. Lawrence",False
"Gilbert, Mr. William",False
"Giles, Mr. Edgar",False
"Giles, Mr. Frederick Edward",False
"Giles, Mr. Ralph",False
"Gill, Mr. John William",False
"Gillespie, Mr. William Henry",False
"Givard, Mr. Hans Kristensen",False
"Greenberg, Mr. Samuel",False
"Hale, Mr. Reginald",False
"Hamalainen, Master. Viljo",True
"Hamalainen, Mrs. William (Anna)",True
"Harbeck, Mr. William H",False
"Harper, Miss. Annie Jessie 'Nina'",True
"Harper, Rev. John",False
"Harris, Mr. George",True
"Harris, Mr. Walter",False
"Hart, Miss. Eva Miriam",True
"Hart, Mr. Benjamin",False
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",True
"Herman, Miss. Alice",True
"Herman, Miss. Kate",True
"Herman, Mr. Samuel",False
"Herman, Mrs. Samuel (Jane Laver)",True
"Hewlett, Mrs. (Mary D Kingcome)",True
"Hickman, Mr. Leonard Mark",False
"Hickman, Mr. Lewis",False
"Hickman, Mr. Stanley George",False
"Hiltunen, Miss. Marta",False
"Hocking, Miss. Ellen 'Nellie'",True
"Hocking, Mr. Richard George",False
"Hocking, Mr. Samuel James Metcalfe",False
"Hocking, Mrs. Elizabeth (Eliza Needs)",True
"Hodges, Mr. Henry Price",False
"Hold, Mr. Stephen",False
"Hold, Mrs. Stephen (Annie Margaret Hill)",True
"Hood, Mr. Ambrose Jr",False
"Hosono, Mr. Masabumi",True
"Howard, Mr. Benjamin",False
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",False
"Hunt, Mr. George Henry",False
"Ilett, Miss. Bertha",True
"Jacobsohn, Mr. Sidney Samuel",False
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",True
"Jarvis, Mr. John Denzil",False
"Jefferys, Mr. Clifford Thomas",False
"Jefferys, Mr. Ernest Wilfred",False
"Jenkin, Mr. Stephen Curnow",False
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",True
"Kantor, Mr. Sinai",False
"Kantor, Mrs. Sinai (Miriam Sternin)",True
"Karnes, Mrs. J Frank (Claire Bennett)",False
"Keane, Miss. Nora A",True
"Keane, Mr. Daniel",False
"Kelly, Mrs. Florence 'Fannie'",True
"Kirkland, Rev. Charles Leonard",False
"Knight, Mr. Robert J",False
"Kvillner, Mr. Johan Henrik Johannesson",False
"Lahtinen, Mrs. William (Anna Sylfven)",False
"Lahtinen, Rev. William",False
"Lamb, Mr. John Joseph",False
"Laroche, Miss. Louise",True
"Laroche, Miss. Simonne Marie Anne Andree",True
"Laroche, Mr. Joseph Philippe Lemercier",False
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",True
"Lehmann, Miss. Bertha",True
"Leitch, Miss. Jessie Wills",True
"Lemore, Mrs. (Amelia Milley)",True
"Levy, Mr. Rene Jacques",False
"Leyson, Mr. Robert William Norman",False
"Lingane, Mr. John",False
"Louch, Mr. Charles Alexander",False
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",True
"Mack, Mrs. (Mary)",False
"Malachard, Mr. Noel",False
"Mallet, Master. Andre",True
"Mallet, Mr. Albert",False
"Mallet, Mrs. Albert (Antoinette Magnin)",True
"Mangiavacchi, Mr. Serafino Emilio",False
"Matthews, Mr. William John",False
"Maybery, Mr. Frank Hubert",False
"McCrae, Mr. Arthur Gordon",False
"McCrie, Mr. James Matthew",False
"McKane, Mr. Peter David",False
"Mellinger, Miss. Madeleine Violet",True
"Mellinger, Mrs. (Elizabeth Anne Maidment)",True
"Mellors, Mr. William John",True
"Meyer, Mr. August",False
"Milling, Mr. Jacob Christian",False
"Mitchell, Mr. Henry Michael",False
"Montvila, Rev. Juozas",False
"Moraweck, Dr. Ernest",False
"Morley, Mr. Henry Samuel ('Mr Henry Marshall')",False
"Mudd, Mr. Thomas Charles",False
"Myles, Mr. Thomas Francis",False
"Nasser, Mr. Nicholas",False
"Nasser, Mrs. Nicholas (Adele Achem)",True
"Navratil, Master. Edmond Roger",True
"Navratil, Master. Michel M",True
"Navratil, Mr. Michel ('Louis M Hoffman')",False
"Nesson, Mr. Israel",False
"Nicholls, Mr. Joseph Charles",False
"Norman, Mr. Robert Douglas",False
"Nourney, Mr. Alfred ('Baron von Drachstedt')",True
"Nye, Mrs. (Elizabeth Ramell)",True
"Otter, Mr. Richard",False
"Oxenham, Mr. Percy Thomas",True
"Padro y Manent, Mr. Julian",True
"Pain, Dr. Alfred",False
"Pallas y Castello, Mr. Emilio",True
"Parker, Mr. Clifford Richard",False
"Parkes, Mr. Francis 'Frank'",False
"Parrish, Mrs. (Lutie Davis)",True
"Pengelly, Mr. Frederick William",False
"Pernot, Mr. Rene",False
"Peruschitz, Rev. Joseph Maria",False
"Phillips, Miss. Alice Frances Louisa",True
"Phillips, Miss. Kate Florence ('Mrs Kate Louise Phillips Marshall')",True
"Phillips, Mr. Escott Robert",False
"Pinsky, Mrs. (Rosa)",True
"Ponesell, Mr. Martin",False
"Portaluppi, Mr. Emilio Ilario Giuseppe",True
"Pulbaum, Mr. Franz",False
"Quick, Miss. Phyllis May",True
"Quick, Miss. Winifred Vera",True
"Quick, Mrs. Frederick Charles (Jane Richards)",True
"Reeves, Mr. David",False
"Renouf, Mr. Peter Henry",False
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",True
"Reynaldo, Ms. Encarnacion",True
"Richard, Mr. Emile",False
"Richards, Master. George Sibley",True
"Richards, Master. William Rowe",True
"Richards, Mrs. Sidney (Emily Hocking)",True
"Ridsdale, Miss. Lucy",True
"Rogers, Mr. Reginald Harry",False
"Rugg, Miss. Emily",True
"Schmidt, Mr. August",False
"Sedgwick, Mr. Charles Frederick Waddington",False
"Sharp, Mr. Percival James R",False
"Shelley, Mrs. William (Imanita Parrish Hall)",True
"Silven, Miss. Lyyli Karoliina",True
"Sincock, Miss. Maude",True
"Sinkkonen, Miss. Anna",True
"Sjostedt, Mr. Ernst Adolf",False
"Slayter, Miss. Hilda Mary",True
"Slemen, Mr. Richard James",False
"Smith, Miss. Marion Elsie",True
"Sobey, Mr. Samuel James Hayden",False
"Stanton, Mr. Samuel Ward",False
"Stokes, Mr. Philip Joseph",False
"Swane, Mr. George",False
"Sweet, Mr. George Frederick",False
"Toomey, Miss. Ellen",True
"Troupiansky, Mr. Moses Aaron",False
"Trout, Mrs. William H (Jessie L)",True
"Troutt, Miss. Edwina Celia 'Winnie'",True
"Turpin, Mr. William John Robert",False
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",False
"Veal, Mr. James",False
"Walcroft, Miss. Nellie",True
"Ware, Mr. John James",False
"Ware, Mr. William Jeffery",False
"Ware, Mrs. John James (Florence Louise Long)",True
"Watson, Mr. Ennis Hastings",False
"Watt, Miss. Bertha J",True
"Watt, Mrs. James (Elizabeth 'Bessie' Inglis Milne)",True
"Webber, Miss. Susan",True
"Weisz, Mr. Leopold",False
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",True
"Wells, Master. Ralph Lester",True
"Wells, Miss. Joan",True
"Wells, Mrs. Arthur Henry ('Addie' Dart Trevaskis)",True
"West, Miss. Barbara J",True
"West, Miss. Constance Mirium",True
"West, Mr. Edwy Arthur",False
"West, Mrs. Edwy Arthur (Ada Mary Worth)",True
"Wheadon, Mr. Edward H",False
"Wheeler, Mr. Edwin 'Frederick'",False
"Wilhelms, Mr. Charles",True
"Williams, Mr. Charles Eugene",True
"Wright, Miss. Marion",True
"Yrois, Miss. Henriette ('Mrs Harbeck')",False
"Abbing, Mr. Anthony",False
"Abbott, Master. Eugene Joseph",False
"Abbott, Mr. Rossmore Edward",False
"Abbott, Mrs. Stanton (Rosa Hunt)",True
"Abelseth, Miss. Karen Marie",True
"Abelseth, Mr. Olaus Jorgensen",True
"Abrahamsson, Mr. Abraham August Johannes",True
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",True
"Adahl, Mr. Mauritz Nils Martin",False
"Adams, Mr. John",False
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",False
"Aks, Master. Philip Frank",True
"Aks, Mrs. Sam (Leah Rosen)",True
"Albimona, Mr. Nassef Cassem",True
"Alexander, Mr. William",False
"Alhomaki, Mr. Ilmari Rudolf",False
"Ali, Mr. Ahmed",False
"Ali, Mr. William",False
"Allen, Mr. William Henry",False
"Allum, Mr. Owen George",False
"Andersen, Mr. Albert Karvin",False
"Andersen-Jensen, Miss. Carla Christine Nielsine",True
"Andersson, Master. Sigvard Harald Elias",False
"Andersson, Miss. Ebba Iris Alfrida",False
"Andersson, Miss. Ellis Anna Maria",False
"Andersson, Miss. Erna Alexandra",True
"Andersson, Miss. Ida Augusta Margareta",False
"Andersson, Miss. Ingeborg Constanzia",False
"Andersson, Miss. Sigrid Elisabeth",False
"Andersson, Mr. Anders Johan",False
"Andersson, Mr. August Edvard ('Wennerstrom')",True
"Andersson, Mr. Johan Samuel",False
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",False
"Andreasson, Mr. Paul Edvin",False
"Angheloff, Mr. Minko",False
"Arnold-Franchi, Mr. Josef",False
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",False
"Aronsson, Mr. Ernst Axel Algot",False
"Asim, Mr. Adola",False
"Asplund, Master. Carl Edgar",False
"Asplund, Master. Clarence Gustaf Hugo",False
"Asplund, Master. Edvin Rojj Felix",True
"Asplund, Master. Filip Oscar",False
